"text","label"
"therefore","formal"
"however","formal"
"consequently","formal"
"furthermore","formal"
"moreover","formal"
"nevertheless","formal"
"nonetheless","formal"
"accordingly","formal"
"subsequently","formal"
"previously","formal"
"approximately","formal"
"specifically","formal"
"particularly","formal"
"especially","formal"
"demonstrate","formal"
"illustrate","formal"
"exemplify","formal"
"substantiate","formal"
"validate","formal"
"analyze","formal"
"evaluate","formal"
"investigate","formal"
"examine","formal"
"assess","formal"
"omg","slang"
"lol","slang"
"btw","slang"
"fyi","slang"
"tbh","slang"
"imo","slang"
"imho","slang"
"nvm","slang"
"idk","slang"
"ikr","slang"
"yolo","slang"
"fomo","slang"
"lit","slang"
"sick","slang"
"dope","slang"
"fire","slang"
"goals","slang"
"mood","slang"
"vibe","slang"
"flex","slang"
"salty","slang"
"basic","slang"
"extra","slang"
"lowkey","slang"
"highkey","slang"
